dataset,lambda,t2
Caltech101,30.4400,-10.4093
Dtd,9.6317,2.5041
Eurosat,2.1838,-0.4037
FgvcAircraft,33.7645,21.9209
Flowers102,24.3950,12.9557
Food101,26.1183,-5.1368
OxfordPets,15.0853,-2.8894
Stanfordcars,95.5053,29.2571
Sun397,135.7707,41.2832
Ucf,29.7055,8.9808
